epoch,human,origin,speed,battery,temp,dir
1759542051,2025-10-03 20:40:51,DATA,0,99,25,STRAIGHT
1759542058,2025-10-03 20:40:58,TELEMETRY,0,98,26,STRAIGHT
1759542061,2025-10-03 20:41:01,DATA,0,98,26,STRAIGHT
1759542068,2025-10-03 20:41:08,TELEMETRY,0,97,26,STRAIGHT
1759542071,2025-10-03 20:41:11,DATA,0,97,26,STRAIGHT
1759542078,2025-10-03 20:41:18,TELEMETRY,0,96,26,STRAIGHT
1759542081,2025-10-03 20:41:21,DATA,0,96,26,STRAIGHT
1759542088,2025-10-03 20:41:28,TELEMETRY,0,95,27,STRAIGHT
1759542091,2025-10-03 20:41:31,DATA,0,95,27,STRAIGHT
1759542098,2025-10-03 20:41:38,TELEMETRY,0,94,28,STRAIGHT
1759542101,2025-10-03 20:41:41,DATA,0,94,28,STRAIGHT
1759542108,2025-10-03 20:41:48,TELEMETRY,0,93,28,STRAIGHT
1759542111,2025-10-03 20:41:51,DATA,0,93,28,STRAIGHT
1759542118,2025-10-03 20:41:58,TELEMETRY,0,92,27,STRAIGHT
1759542121,2025-10-03 20:42:01,DATA,0,92,27,STRAIGHT
1759542145,2025-10-03 20:42:25,DATA,0,90,26,STRAIGHT
1759542148,2025-10-03 20:42:28,TELEMETRY,0,89,27,STRAIGHT
1759542155,2025-10-03 20:42:35,DATA,0,89,27,STRAIGHT
1759542158,2025-10-03 20:42:38,TELEMETRY,0,88,27,STRAIGHT
1759542164,2025-10-03 20:42:44,DATA,0,88,27,STRAIGHT
1759542168,2025-10-03 20:42:48,TELEMETRY,0,87,27,STRAIGHT
1759542175,2025-10-03 20:42:55,DATA,10,87,27,STRAIGHT
1759542178,2025-10-03 20:42:58,TELEMETRY,19,86,28,STRAIGHT
1759542185,2025-10-03 20:43:05,DATA,19,86,28,STRAIGHT
1759542188,2025-10-03 20:43:08,TELEMETRY,19,85,29,STRAIGHT
1759542195,2025-10-03 20:43:15,DATA,19,85,29,STRAIGHT
1759542198,2025-10-03 20:43:18,TELEMETRY,19,84,28,STRAIGHT
1759542205,2025-10-03 20:43:25,DATA,19,84,28,STRAIGHT
1759542208,2025-10-03 20:43:28,TELEMETRY,18,83,28,STRAIGHT
1759542215,2025-10-03 20:43:35,DATA,18,83,28,STRAIGHT
1759542218,2025-10-03 20:43:38,TELEMETRY,18,82,27,STRAIGHT
1759542225,2025-10-03 20:43:45,DATA,18,82,27,STRAIGHT
1759542228,2025-10-03 20:43:48,TELEMETRY,18,81,27,STRAIGHT
1759542235,2025-10-03 20:43:55,DATA,18,81,27,STRAIGHT
1759542238,2025-10-03 20:43:58,TELEMETRY,17,80,28,STRAIGHT
1759542245,2025-10-03 20:44:05,DATA,17,80,28,STRAIGHT
1759542248,2025-10-03 20:44:08,TELEMETRY,17,79,29,STRAIGHT
1759542255,2025-10-03 20:44:15,DATA,17,79,29,RIGHT
1759542258,2025-10-03 20:44:18,TELEMETRY,17,78,29,STRAIGHT
1759542265,2025-10-03 20:44:25,DATA,17,78,29,STRAIGHT
1759542268,2025-10-03 20:44:28,TELEMETRY,16,77,29,STRAIGHT
1759542275,2025-10-03 20:44:35,DATA,26,77,29,LEFT
1759542278,2025-10-03 20:44:38,TELEMETRY,16,76,29,STRAIGHT
1759542285,2025-10-03 20:44:45,DATA,16,76,29,STRAIGHT
1759542288,2025-10-03 20:44:48,TELEMETRY,16,75,30,STRAIGHT
1759542295,2025-10-03 20:44:55,DATA,16,75,30,STRAIGHT
1759542298,2025-10-03 20:44:58,TELEMETRY,15,74,31,STRAIGHT
1759542305,2025-10-03 20:45:05,DATA,15,74,31,STRAIGHT
1759542308,2025-10-03 20:45:08,TELEMETRY,15,73,32,STRAIGHT
1759542315,2025-10-03 20:45:15,DATA,15,73,32,STRAIGHT
1759542318,2025-10-03 20:45:18,TELEMETRY,15,72,32,STRAIGHT
1759542325,2025-10-03 20:45:25,DATA,15,72,32,STRAIGHT
1759542328,2025-10-03 20:45:28,TELEMETRY,14,71,32,STRAIGHT
1759542335,2025-10-03 20:45:35,DATA,14,71,32,STRAIGHT
1759542338,2025-10-03 20:45:38,TELEMETRY,14,70,31,STRAIGHT
1759542345,2025-10-03 20:45:45,DATA,14,70,31,STRAIGHT
1759542348,2025-10-03 20:45:48,TELEMETRY,14,69,32,STRAIGHT
1759542355,2025-10-03 20:45:55,DATA,14,69,32,STRAIGHT
1759542358,2025-10-03 20:45:58,TELEMETRY,13,68,32,STRAIGHT
1759542365,2025-10-03 20:46:05,DATA,13,68,32,STRAIGHT
1759542368,2025-10-03 20:46:08,TELEMETRY,13,67,31,STRAIGHT
1759542375,2025-10-03 20:46:15,DATA,13,67,31,STRAIGHT
1759542378,2025-10-03 20:46:18,TELEMETRY,13,66,31,STRAIGHT
1759542385,2025-10-03 20:46:25,DATA,103,66,31,STRAIGHT
1759542388,2025-10-03 20:46:28,TELEMETRY,102,65,30,STRAIGHT
1759542395,2025-10-03 20:46:35,DATA,102,65,30,STRAIGHT
1759542398,2025-10-03 20:46:38,TELEMETRY,102,64,30,STRAIGHT
1759542405,2025-10-03 20:46:45,DATA,102,64,30,STRAIGHT
1759542408,2025-10-03 20:46:48,TELEMETRY,102,63,31,STRAIGHT
1759542415,2025-10-03 20:46:55,DATA,102,63,31,STRAIGHT
1759542418,2025-10-03 20:46:58,TELEMETRY,101,62,32,STRAIGHT
1759542425,2025-10-03 20:47:05,DATA,101,62,32,STRAIGHT
1759542428,2025-10-03 20:47:08,TELEMETRY,101,61,32,STRAIGHT
1759542435,2025-10-03 20:47:15,DATA,101,61,32,STRAIGHT
1759542438,2025-10-03 20:47:18,TELEMETRY,101,60,31,STRAIGHT
1759542445,2025-10-03 20:47:25,DATA,101,60,31,STRAIGHT
1759542448,2025-10-03 20:47:28,TELEMETRY,100,59,31,STRAIGHT
1759542455,2025-10-03 20:47:35,DATA,100,59,31,STRAIGHT
1759542458,2025-10-03 20:47:38,TELEMETRY,100,58,31,STRAIGHT
1759542465,2025-10-03 20:47:45,DATA,100,58,31,STRAIGHT
1759542468,2025-10-03 20:47:48,TELEMETRY,100,57,32,STRAIGHT
1759542475,2025-10-03 20:47:55,DATA,100,57,32,STRAIGHT
1759542478,2025-10-03 20:47:58,TELEMETRY,99,56,33,STRAIGHT
1759542485,2025-10-03 20:48:05,DATA,99,56,33,STRAIGHT
1759542488,2025-10-03 20:48:08,TELEMETRY,99,55,34,STRAIGHT
1759542495,2025-10-03 20:48:15,DATA,99,55,34,STRAIGHT
